rmin,rmax,E0
0.0025,3,-0.423763044905626
0.0025,3.12316914057009,-0.436790885575896
0.0025,3.2513951602031,-0.447964521196965
0.0025,3.38488567604843,-0.457500830038843
0.0025,3.52385682926406,-0.465601881050427
0.0025,3.66853363498156,-0.47245941432764
0.0025,3.81915034663927,-0.477831135777027
0.0025,3.97595083527378,-0.482494511646741
0.0025,4.13918898438364,-0.486317145220153
0.0025,4.30912910100488,-0.489422313893537
0.0025,4.48604634366366,-0.491921773393531
0.0025,4.67022716789921,-0.493919432519707
0.0025,4.86196979007829,-0.495512925212982
0.0025,5.06158467025218,-0.496637753326539
0.0025,5.26939501483808,-0.497562100721232
0.0025,5.48573729993872,-0.498250970193749
0.0025,5.71096181614764,-0.498755567441743
0.0025,5.94543323572214,-0.499128590774561
0.0025,6.18953120304238,-0.499411101254236
0.0025,6.44365094931254,-0.499558801496934
0.0025,6.70820393249937,-0.499686197164713
0.0025,6.98361850354432,-0.49977087165891
0.0025,7.27034059992796,-0.499828083870187
0.0025,7.56883446770961,-0.499872338696815
0.0025,7.8795834132113,-0.499882075553882
0.0025,8.20309058556316,-0.499896169698427
0.0025,8.5398797913773,-0.499905126902848
0.0025,8.89049634286924,-0.499912381207078
0.0025,9.25550794080014,-0.499913461954558
0.0025,9.63550559366947,-0.499915845474785
0.0025,10.0311045746463,-0.499917631392261
0.0025,10.442945417789,-0.499919442594078
0.0025,10.8716949551654,-0.499919988233253
0.0025,11.3180473965547,-0.49992103108484
0.0025,11.7827254534765,-0.499922082461884
0.0025,12.2664815093691,-0.49992295829814
0.0025,12.7700988378118,-0.499923882509329
0.0025,13.2943928707612,-0.499924794273877
0.0025,13.8402125188588,-0.499925692065455
0.0025,14.4084415459439,-0.499926575306018
0.0025,15,-0.499927445434403

0.00280504613575491,3,-0.423763201488276
0.00280504613575491,3.12316914057009,-0.436791043823826
0.00280504613575491,3.2513951602031,-0.447964680268129
0.00280504613575491,3.38488567604843,-0.45750099240906
0.00280504613575491,3.52385682926406,-0.465602053792216
0.00280504613575491,3.66853363498156,-0.472459588765744
0.00280504613575491,3.81915034663927,-0.477831311713056
0.00280504613575491,3.97595083527378,-0.482494768884065
0.00280504613575491,4.13918898438364,-0.486317385765384
0.00280504613575491,4.30912910100488,-0.489422541237072
0.00280504613575491,4.48604634366366,-0.491921987050198
0.00280504613575491,4.67022716789921,-0.493919618641385
0.00280504613575491,4.86196979007829,-0.495513060132773
0.00280504613575491,5.06158467025218,-0.496637786276002
0.00280504613575491,5.26939501483808,-0.497561970725267
0.00280504613575491,5.48573729993872,-0.498251453922659
0.00280504613575491,5.71096181614764,-0.498755942996708
0.00280504613575491,5.94543323572214,-0.499128903285752
