r,E,dE
0.1,0.09,0.8,
0.225,0.177497935123012,0.60639792129949,
0.456048964649437,0.284477214361266,0.336395768683552,
0.778215095564501,0.350907618044911,0.0980159096720608,
1.24327748175397,0.351383619479516,-0.0701042325068807,
1.92649812057216,0.274363699619515,-0.132736085775613,
2.96452527489017,0.149170484213228,-0.0991855211936819,
4.28416971470444,0.057414357036843,-0.0441310978809833,
5.74625035633556,0.0177026219741708,-0.014670491356839,
7.38509862420606,0.00429074041668476,-0.00378144648149934,
9.25131295813081,0.000597004136580307,-0.000864658439927736,
10,3.80797496517467E-05,-0.000682700114208466,
