20 0.02
25 0.02
30 0.02
35 0.02
40 0.02
45 0.02
50 0.02
55 0.02
60 0.02
65 0.02
70 0.02
75 0.02
80 0.02
85 0.02
90 0.03
95 0.03
100 0.03
105 0.02
110 0.03
115 0.03
120 0.03
125 0.03
130 0.03
135 0.03
140 0.03
145 0.04
150 0.04
155 0.04
160 0.04
165 0.04
170 0.04
175 0.04
180 0.05
185 0.05
190 0.05
195 0.06
200 0.06
205 0.06
210 0.06
215 0.07
220 0.07
225 0.07
230 0.07
235 0.08
240 0.08
245 0.09
250 0.09
255 0.10
260 0.10
265 0.10
270 0.11
275 0.12
280 0.12
285 0.13
290 0.14
295 0.14
300 0.15
305 0.15
310 0.17
315 0.18
320 0.18
325 0.19
330 0.19
335 0.21
340 0.22
345 0.23
350 0.23
355 0.25
360 0.26
365 0.28
370 0.29
375 0.30
380 0.30
385 0.32
390 0.33
395 0.35
400 0.36
405 0.38
410 0.38
415 0.41
420 0.42
425 0.43
430 0.45
435 0.46
440 0.49
445 0.48
450 0.53
455 0.51
460 0.55
465 0.57
470 0.59
475 0.56
480 0.59
485 0.65
490 0.60
495 0.65
500 0.71
505 0.72
510 0.80
515 0.78
520 0.80
525 0.83
530 0.89
535 0.87
540 0.94
545 0.92
550 0.99
555 0.99
560 1.00
565 1.02
570 1.07
575 1.13
580 1.16
585 1.16
590 1.15
595 1.22
600 1.28
